country,continent,date,day,month,year,cases,deaths,country_code,population
Afghanistan,Asia,2020-04-12,12,4,2020,34,3,AFG,37172386.0
Albania,Europe,2020-04-12,12,4,2020,17,0,ALB,2866376.0
Algeria,Africa,2020-04-12,12,4,2020,64,19,DZA,42228429.0
Andorra,Europe,2020-04-12,12,4,2020,21,2,AND,77006.0
Angola,Africa,2020-04-12,12,4,2020,0,0,AGO,30809762.0
Anguilla,America,2020-04-12,12,4,2020,0,0,,
Antigua_and_Barbuda,America,2020-04-12,12,4,2020,0,0,ATG,96286.0
Argentina,America,2020-04-12,12,4,2020,162,7,ARG,44494502.0
Armenia,Europe,2020-04-12,12,4,2020,30,2,ARM,2951776.0
Aruba,America,2020-04-12,12,4,2020,6,0,ABW,105845.0
Australia,Oceania,2020-04-12,12,4,2020,51,3,AUS,24992369.0
Austria,Europe,2020-04-12,12,4,2020,247,18,AUT,8847037.0
Azerbaijan,Europe,2020-04-12,12,4,2020,67,1,AZE,9942334.0
Bahamas,America,2020-04-12,12,4,2020,4,0,BHS,385640.0
Bahrain,Asia,2020-04-12,12,4,2020,42,0,BHR,1569439.0
Bangladesh,Asia,2020-04-12,12,4,2020,58,3,BGD,161356039.0
Barbados,America,2020-04-12,12,4,2020,1,0,BRB,286641.0
Belarus,Europe,2020-04-12,12,4,2020,245,4,BLR,9485386.0
Belgium,Europe,2020-04-12,12,4,2020,1351,327,BEL,11422068.0
Belize,America,2020-04-12,12,4,2020,3,0,BLZ,383071.0
Benin,Africa,2020-04-12,12,4,2020,0,0,BEN,11485048.0
Bermuda,America,2020-04-12,12,4,2020,2,0,BMU,63968.0
Bhutan,Asia,2020-04-12,12,4,2020,0,0,BTN,754394.0
Bolivia,America,2020-04-12,12,4,2020,24,4,BOL,11353142.0
"Bonaire, Saint Eustatius and Saba",America,2020-04-12,12,4,2020,0,0,,
Bosnia_and_Herzegovina,Europe,2020-04-12,12,4,2020,47,0,BIH,3323929.0
Botswana,Africa,2020-04-12,12,4,2020,0,0,BWA,2254126.0
Brazil,America,2020-04-12,12,4,2020,1089,68,BRA,209469333.0
British_Virgin_Islands,America,2020-04-12,12,4,2020,0,0,VGB,29802.0
Brunei_Darussalam,Asia,2020-04-12,12,4,2020,0,0,BRN,428962.0
Bulgaria,Europe,2020-04-12,12,4,2020,26,3,BGR,7024216.0
Burkina_Faso,Africa,2020-04-12,12,4,2020,36,1,BFA,19751535.0
Burundi,Africa,2020-04-12,12,4,2020,2,0,BDI,11175378.0
Cambodia,Asia,2020-04-12,12,4,2020,2,0,KHM,16249798.0
Cameroon,Africa,2020-04-12,12,4,2020,17,1,CMR,25216237.0
Canada,America,2020-04-12,12,4,2020,1168,84,CAN,37058856.0
Cape_Verde,Africa,2020-04-12,12,4,2020,1,0,CPV,543767.0
Cases_on_an_international_conveyance_Japan,Other,2020-01-18,18,1,2020,0,0,,3000.0
Cayman_Islands,America,2020-04-12,12,4,2020,8,0,CYM,64174.0
Central_African_Republic,Africa,2020-04-12,12,4,2020,0,0,CAF,4666377.0
Chad,Africa,2020-04-12,12,4,2020,0,0,TCD,15477751.0
Chile,America,2020-04-12,12,4,2020,426,8,CHL,18729160.0
China,Asia,2020-04-12,12,4,2020,93,0,CHN,1392730000.0
Colombia,America,2020-04-12,12,4,2020,236,20,COL,49648685.0
Congo,Africa,2020-04-12,12,4,2020,0,0,COG,5244363.0
Costa_Rica,America,2020-04-12,12,4,2020,19,0,CRI,4999441.0
Cote_dIvoire,Africa,2020-04-12,12,4,2020,53,1,CIV,25069229.0
Croatia,Europe,2020-04-12,12,4,2020,39,0,HRV,4089400.0
Cuba,America,2020-04-12,12,4,2020,56,1,CUB,11338138.0
Cura̤ao,America,2020-04-12,12,4,2020,0,0,CUW,159849.0
Cyprus,Europe,2020-04-12,12,4,2020,21,0,CYP,1189265.0
Czechia,Europe,2020-04-12,12,4,2020,170,10,CZE,10625695.0
Democratic_Republic_of_the_Congo,Africa,2020-04-12,12,4,2020,11,0,COD,84068091.0
Denmark,Europe,2020-04-12,12,4,2020,177,13,DNK,5797446.0
Djibouti,Africa,2020-04-12,12,4,2020,37,1,DJI,958920.0
Dominica,America,2020-04-12,12,4,2020,0,0,DMA,71625.0
Dominican_Republic,America,2020-04-12,12,4,2020,139,9,DOM,10627165.0
Ecuador,America,2020-04-12,12,4,2020,96,18,ECU,17084357.0
Egypt,Africa,2020-04-12,12,4,2020,145,11,EGY,98423595.0
El_Salvador,America,2020-04-12,12,4,2020,0,0,SLV,6420744.0
Equatorial_Guinea,Africa,2020-04-12,12,4,2020,0,0,GNQ,1308974.0
Eritrea,Africa,2020-04-12,12,4,2020,0,0,ERI,
Estonia,Europe,2020-04-12,12,4,2020,46,0,EST,1320884.0
Eswatini,Africa,2020-04-12,12,4,2020,2,0,SWZ,1367000.0
Ethiopia,Africa,2020-04-12,12,4,2020,4,1,ETH,109224559.0
Falkland_Islands_(Malvinas),America,2020-04-12,12,4,2020,0,0,,
Faroe_Islands,Europe,2020-04-12,12,4,2020,0,0,FRO,48497.0
Fiji,Oceania,2020-04-12,12,4,2020,0,0,FJI,883483.0
Finland,Europe,2020-04-12,12,4,2020,136,1,FIN,5518050.0
France,Europe,2020-04-12,12,4,2020,3114,635,FRA,66987244.0
French_Polynesia,Oceania,2020-04-12,12,4,2020,0,0,PYF,277679.0
Gabon,Africa,2020-04-12,12,4,2020,3,0,GAB,2119275.0
Gambia,Africa,2020-04-12,12,4,2020,5,0,GMB,2280102.0
Georgia,Europe,2020-04-12,12,4,2020,8,0,GEO,3731000.0
Germany,Europe,2020-04-12,12,4,2020,2821,129,DEU,82927922.0
Ghana,Africa,2020-04-12,12,4,2020,30,2,GHA,29767108.0
Gibraltar,Europe,2020-04-12,12,4,2020,2,0,GIB,33718.0
Greece,Europe,2020-04-12,12,4,2020,70,3,GRC,10727668.0
Greenland,America,2020-04-12,12,4,2020,0,0,GRL,56025.0
Grenada,America,2020-04-12,12,4,2020,0,0,GRD,111454.0
Guam,Oceania,2020-04-12,12,4,2020,3,1,GUM,165768.0
Guatemala,America,2020-04-12,12,4,2020,16,0,GTM,17247807.0
Guernsey,Europe,2020-04-12,12,4,2020,9,0,GGY,63026.0
Guinea,Africa,2020-04-12,12,4,2020,38,0,GIN,12414318.0
Guinea_Bissau,Africa,2020-04-12,12,4,2020,3,0,GNB,1874309.0
Guyana,America,2020-04-12,12,4,2020,5,0,GUY,779004.0
Haiti,America,2020-04-12,12,4,2020,2,0,HTI,11123176.0
Holy_See,Europe,2020-04-12,12,4,2020,0,0,VAT,1000.0
Honduras,America,2020-04-12,12,4,2020,1,1,HND,9587522.0
Hungary,Europe,2020-04-12,12,4,2020,100,14,HUN,9768785.0
Iceland,Europe,2020-04-12,12,4,2020,14,1,ISL,353574.0
India,Asia,2020-04-12,12,4,2020,909,34,IND,1352617328.0
Indonesia,Asia,2020-04-12,12,4,2020,330,21,IDN,267663435.0
Iran,Asia,2020-04-12,12,4,2020,1837,125,IRN,81800269.0
Iraq,Asia,2020-04-12,12,4,2020,39,2,IRQ,38433600.0
Ireland,Europe,2020-04-12,12,4,2020,839,33,IRL,4853506.0
Isle_of_Man,Europe,2020-04-12,12,4,2020,25,0,IMN,84077.0
Israel,Asia,2020-04-12,12,4,2020,335,6,ISR,8883800.0
Italy,Europe,2020-04-12,12,4,2020,4694,619,ITA,60431283.0
Jamaica,America,2020-04-12,12,4,2020,4,0,JAM,2934855.0
Japan,Asia,2020-04-12,12,4,2020,1401,10,JPN,126529100.0
Jersey,Europe,2020-04-12,12,4,2020,0,0,JEY,106800.0
Jordan,Asia,2020-04-12,12,4,2020,9,0,JOR,9956011.0
Kazakhstan,Asia,2020-04-12,12,4,2020,40,0,KAZ,18276499.0
Kenya,Africa,2020-04-12,12,4,2020,2,0,KEN,51393010.0
Kosovo,Europe,2020-04-12,12,4,2020,33,0,XKX,1845300.0
Kuwait,Asia,2020-04-12,12,4,2020,161,0,KWT,4137309.0
Kyrgyzstan,Asia,2020-04-12,12,4,2020,38,0,KGZ,6315800.0
Laos,Asia,2020-04-12,12,4,2020,2,0,LAO,7061507.0
Latvia,Europe,2020-04-12,12,4,2020,18,1,LVA,1926542.0
Lebanon,Asia,2020-04-12,12,4,2020,10,0,LBN,6848925.0
Liberia,Africa,2020-04-12,12,4,2020,11,1,LBR,4818977.0
Libya,Africa,2020-04-12,12,4,2020,1,0,LBY,6678567.0
Liechtenstein,Europe,2020-04-12,12,4,2020,0,0,LIE,37910.0
Lithuania,Europe,2020-04-12,12,4,2020,54,6,LTU,2789533.0
Luxembourg,Europe,2020-04-12,12,4,2020,47,8,LUX,607728.0
Madagascar,Africa,2020-04-12,12,4,2020,0,0,MDG,26262368.0
Malawi,Africa,2020-04-12,12,4,2020,3,1,MWI,18143315.0
Malaysia,Asia,2020-04-12,12,4,2020,184,3,MYS,31528585.0
Maldives,Asia,2020-04-12,12,4,2020,0,0,MDV,515696.0
Mali,Africa,2020-04-12,12,4,2020,18,2,MLI,19077690.0
Malta,Europe,2020-04-12,12,4,2020,13,1,MLT,483530.0
Mauritania,Africa,2020-04-12,12,4,2020,0,0,MRT,4403319.0
Mauritius,Africa,2020-04-12,12,4,2020,1,0,MUS,1265303.0
Mexico,America,2020-04-12,12,4,2020,375,40,MEX,126190788.0
Moldova,Europe,2020-04-12,12,4,2020,122,1,MDA,3545883.0
Monaco,Europe,2020-04-12,12,4,2020,2,0,MCO,38682.0
Mongolia,Asia,2020-04-12,12,4,2020,0,0,MNG,3170208.0
Montenegro,Europe,2020-04-12,12,4,2020,6,0,MNE,622345.0
Montserrat,America,2020-04-12,12,4,2020,0,0,MSR,5900.0
Morocco,Africa,2020-04-12,12,4,2020,97,4,MAR,36029138.0
Mozambique,Africa,2020-04-12,12,4,2020,0,0,MOZ,29495962.0
Myanmar,Asia,2020-04-12,12,4,2020,3,0,MMR,53708395.0
Namibia,Africa,2020-04-12,12,4,2020,0,0,NAM,2448255.0
Nepal,Asia,2020-04-12,12,4,2020,0,0,NPL,28087871.0
Netherlands,Europe,2020-04-12,12,4,2020,1316,132,NLD,17231017.0
New_Caledonia,Oceania,2020-04-12,12,4,2020,0,0,NCL,284060.0
New_Zealand,Oceania,2020-04-12,12,4,2020,14,0,NZL,4885500.0
Nicaragua,America,2020-04-12,12,4,2020,0,0,NIC,6465513.0
Niger,Africa,2020-04-12,12,4,2020,53,0,NER,22442948.0
Nigeria,Africa,2020-04-12,12,4,2020,13,3,NGA,195874740.0
North_Macedonia,Europe,2020-04-12,12,4,2020,49,2,MKD,2082958.0
Northern_Mariana_Islands,Oceania,2020-04-12,12,4,2020,0,0,MNP,56882.0
Norway,Europe,2020-04-12,12,4,2020,76,6,NOR,5314336.0
Oman,Asia,2020-04-12,12,4,2020,62,0,OMN,4829483.0
Pakistan,Asia,2020-04-12,12,4,2020,250,15,PAK,212215030.0
Palestine,Asia,2020-04-12,12,4,2020,2,0,PSE,4569087.0
Panama,America,2020-04-12,12,4,2020,260,5,PAN,4176873.0
Papua_New_Guinea,Oceania,2020-04-12,12,4,2020,0,0,PNG,8606316.0
Paraguay,America,2020-04-12,12,4,2020,1,0,PRY,6956071.0
Peru,America,2020-04-12,12,4,2020,951,12,PER,31989256.0
Philippines,Asia,2020-04-12,12,4,2020,352,44,PHL,106651922.0
Poland,Europe,2020-04-12,12,4,2020,401,27,POL,37978548.0
Portugal,Europe,2020-04-12,12,4,2020,515,35,PRT,10281762.0
Puerto_Rico,America,2020-04-12,12,4,2020,63,3,PRI,3195153.0
Qatar,Asia,2020-04-12,12,4,2020,216,0,QAT,2781677.0
Romania,Europe,2020-04-12,12,4,2020,523,25,ROU,19473936.0
Russia,Europe,2020-04-12,12,4,2020,1667,12,RUS,144478050.0
Rwanda,Africa,2020-04-12,12,4,2020,2,0,RWA,12301939.0
Saint_Kitts_and_Nevis,America,2020-04-12,12,4,2020,0,0,KNA,52441.0
Saint_Lucia,America,2020-04-12,12,4,2020,0,0,LCA,181889.0
Saint_Vincent_and_the_Grenadines,America,2020-04-12,12,4,2020,0,0,VCT,110210.0
San_Marino,Europe,2020-04-12,12,4,2020,12,1,SMR,33785.0
Sao_Tome_and_Principe,Africa,2020-04-12,12,4,2020,0,0,STP,211028.0
Saudi_Arabia,Asia,2020-04-12,12,4,2020,382,5,SAU,33699947.0
Senegal,Africa,2020-04-12,12,4,2020,13,0,SEN,15854360.0
Serbia,Europe,2020-04-12,12,4,2020,275,3,SRB,6982084.0
Seychelles,Africa,2020-04-12,12,4,2020,0,0,SYC,96762.0
Sierra_Leone,Africa,2020-04-12,12,4,2020,2,0,SLE,7650154.0
Singapore,Asia,2020-04-12,12,4,2020,390,2,SGP,5638676.0
Sint_Maarten,America,2020-04-12,12,4,2020,0,0,SXM,41486.0
Slovakia,Europe,2020-04-12,12,4,2020,13,0,SVK,5447011.0
Slovenia,Europe,2020-04-12,12,4,2020,28,5,SVN,2067372.0
Somalia,Africa,2020-04-12,12,4,2020,0,0,SOM,15008154.0
South_Africa,Africa,2020-04-12,12,4,2020,25,1,ZAF,57779622.0
South_Korea,Asia,2020-04-12,12,4,2020,62,6,KOR,51635256.0
South_Sudan,Africa,2020-04-12,12,4,2020,1,0,SSD,10975920.0
Spain,Europe,2020-04-11,11,4,2020,4550,605,ESP,46723749.0
Sri_Lanka,Asia,2020-04-12,12,4,2020,2,0,LKA,21670000.0
Sudan,Africa,2020-04-12,12,4,2020,4,0,SDN,41801533.0
Suriname,America,2020-04-12,12,4,2020,0,0,SUR,575991.0
Sweden,Europe,2020-04-12,12,4,2020,466,17,SWE,10183175.0
Switzerland,Europe,2020-04-12,12,4,2020,592,26,CHE,8516543.0
Syria,Asia,2020-04-12,12,4,2020,6,0,SYR,16906283.0
Taiwan,Asia,2020-04-12,12,4,2020,5,1,TWN,23780452.0
Thailand,Asia,2020-04-12,12,4,2020,33,3,THA,69428524.0
Timor_Leste,Asia,2020-04-12,12,4,2020,0,0,TLS,1267972.0
Togo,Africa,2020-04-12,12,4,2020,0,0,TGO,7889094.0
Trinidad_and_Tobago,America,2020-04-12,12,4,2020,3,0,TTO,1389858.0
Tunisia,Africa,2020-04-12,12,4,2020,14,3,TUN,11565204.0
Turkey,Asia,2020-04-12,12,4,2020,5138,95,TUR,82319724.0
Turks_and_Caicos_islands,America,2020-04-12,12,4,2020,0,0,TCA,31458.0
Uganda,Africa,2020-04-12,12,4,2020,0,0,UGA,42723139.0
Ukraine,Europe,2020-04-12,12,4,2020,308,4,UKR,44622516.0
United_Arab_Emirates,Asia,2020-04-12,12,4,2020,376,4,ARE,9630959.0
United_Kingdom,Europe,2020-04-12,12,4,2020,8719,839,GBR,66488991.0
United_Republic_of_Tanzania,Africa,2020-04-12,12,4,2020,0,0,TZA,56318348.0
United_States_Virgin_Islands,America,2020-04-12,12,4,2020,1,0,VIR,106977.0
United_States_of_America,America,2020-04-12,12,4,2020,28391,1831,USA,327167434.0
Uruguay,America,2020-04-12,12,4,2020,7,0,URY,3449299.0
Uzbekistan,Asia,2020-04-12,12,4,2020,172,1,UZB,32955400.0
Venezuela,America,2020-04-12,12,4,2020,0,0,VEN,28870195.0
Vietnam,Asia,2020-04-12,12,4,2020,4,0,VNM,95540395.0
Yemen,Asia,2020-04-12,12,4,2020,0,0,YEM,28498687.0
Zambia,Africa,2020-04-12,12,4,2020,0,0,ZMB,17351822.0
Zimbabwe,Africa,2020-04-12,12,4,2020,3,0,ZWE,14439018.0
